ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Customer_Feedback
18,1946,Graduation,Together,37760.0,0,0,8/31/2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
19,1949,Master,Married,76995.0,0,1,3/28/2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,Great customer service and very smooth experience.
20,1985,2n Cycle,Single,33812.0,1,0,11/3/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
21,1982,Graduation,Married,37040.0,0,0,8/8/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
22,1979,Graduation,Married,2447.0,1,0,1/6/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,Excellent quality products and fast delivery!
23,1949,PhD,Married,58607.0,0,1,12/23/2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,"Average experience, products were fine."
24,1954,PhD,Married,65324.0,0,1,1/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
25,1951,Graduation,Together,40689.0,0,1,3/18/2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
26,1969,Graduation,Single,18589.0,0,0,1/2/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
27,1976,Graduation,Married,53359.0,1,1,5/27/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
28,1986,Graduation,Single,,1,0,2/20/2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
29,1989,Graduation,Married,38360.0,1,0,5/31/2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
30,1965,PhD,Married,84618.0,0,0,11/22/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
31,1989,Master,Divorced,10979.0,0,0,5/22/2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
32,1963,Master,Together,38620.0,0,0,5/11/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
33,1970,Graduation,Together,40548.0,0,1,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
34,1952,PhD,Divorced,46610.0,0,2,10/29/2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
35,1946,Master,Married,68657.0,0,0,2/20/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,Excellent quality products and fast delivery!
36,1951,Master,Single,49389.0,1,1,8/29/2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
37,1970,PhD,Married,67353.0,0,1,12/31/2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
38,1976,2n Cycle,Married,23718.0,1,0,9/2/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
39,1973,Graduation,Widow,42429.0,0,1,2/11/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
40,1943,PhD,Divorced,48948.0,0,0,2/1/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,Absolutely love the selection of wines and meats.
41,1980,Graduation,Married,80011.0,0,1,4/29/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
42,1985,Master,Married,20559.0,1,0,3/12/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
43,1957,Graduation,Together,21994.0,0,1,12/24/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
44,1959,PhD,Single,,0,0,11/5/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
45,1975,Master,Married,7500.0,1,0,10/2/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
46,1976,Graduation,Single,79941.0,0,0,6/28/2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
47,1996,2n Cycle,Married,7500.0,0,0,11/9/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
48,1968,Graduation,Together,41728.0,1,0,5/24/2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
49,1951,Graduation,Single,,2,1,1/1/2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
50,1954,PhD,Married,72550.0,1,1,11/8/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
51,1957,Graduation,Widow,65486.0,0,1,5/12/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
52,1964,Master,Married,79143.0,0,0,8/11/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
53,1977,Graduation,Single,35790.0,1,0,1/2/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
54,1977,Graduation,Divorced,82582.0,0,0,6/7/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,"Highly recommended, top-notch quality!"
55,1978,Graduation,Married,66373.0,1,1,6/12/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
56,1955,Master,Together,82384.0,0,0,11/19/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
57,1966,Graduation,Divorced,70287.0,0,0,4/2/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
58,1988,Graduation,Single,27938.0,1,0,4/28/2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
59,1982,Graduation,Single,,1,0,6/17/2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
60,1968,PhD,Married,55954.0,0,1,3/3/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
61,1982,Master,Single,75777.0,0,0,7/4/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,Absolutely love the selection of wines and meats.
62,1975,Graduation,Together,66653.0,1,1,9/7/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
63,1952,Graduation,Single,61823.0,0,1,2/18/2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
64,1951,PhD,Widow,67680.0,0,1,6/11/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
65,1948,Graduation,Together,70666.0,0,0,12/6/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,Absolutely love the selection of wines and meats.
66,1971,Graduation,Married,25721.0,1,0,5/21/2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
67,1967,Graduation,Together,32474.0,1,1,5/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
68,1979,2n Cycle,Single,88194.0,0,1,3/19/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,Excellent quality products and fast delivery!
69,1958,Graduation,Together,69096.0,0,1,9/27/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
70,1970,Graduation,Together,74854.0,1,2,4/8/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
71,1954,Master,Married,66991.0,0,0,9/11/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
72,1973,2n Cycle,Married,,1,0,9/14/2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
73,1959,Graduation,Married,65031.0,0,1,3/17/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
74,1975,PhD,Married,60631.0,1,1,4/5/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,"Average experience, products were fine."
75,1952,Graduation,Married,28332.0,0,0,4/30/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
76,1977,Graduation,Divorced,40246.0,1,0,12/19/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
77,1972,Master,Married,75251.0,0,0,8/27/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
78,1976,Graduation,Single,75825.0,0,0,10/12/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,Absolutely love the selection of wines and meats.
79,1976,2n Cycle,Together,26326.0,0,0,9/4/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,I complained but no one reached out to me.
80,1965,Graduation,Together,56046.0,0,0,1/2/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
81,1985,Graduation,Single,29760.0,1,0,8/29/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
82,1969,Graduation,Married,26304.0,1,0,6/23/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
83,1973,2n Cycle,Married,23559.0,1,0,7/3/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
84,1963,Master,Together,38620.0,0,0,5/11/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
85,1987,Graduation,Divorced,81361.0,0,0,2/25/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
86,1960,Graduation,Married,29440.0,1,1,8/11/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
87,1970,Master,Married,36138.0,1,1,7/16/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
88,1957,Graduation,Single,50388.0,0,1,5/28/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,Will definitely be buying again. 5 stars.
89,1973,Graduation,Married,79593.0,0,0,5/12/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
90,1967,Graduation,Together,54178.0,0,1,1/21/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
91,1957,PhD,Married,,2,1,11/19/2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
92,1957,Graduation,Single,,1,1,5/27/2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
93,1973,Master,Together,,0,0,11/23/2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
94,1972,Master,Single,42394.0,1,0,3/23/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
95,1970,PhD,Married,23626.0,1,0,5/24/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
96,1983,Graduation,Married,30096.0,1,0,5/22/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
97,1960,Graduation,Widow,47916.0,0,1,11/22/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,Might buy again if there's a good discount.
98,1972,Graduation,Divorced,51813.0,1,1,4/11/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
99,1951,2n Cycle,Married,78497.0,0,0,12/1/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,"Average experience, products were fine."
100,1983,PhD,Married,50150.0,0,0,6/20/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
101,1960,2n Cycle,Single,47823.0,0,1,7/23/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
102,1959,PhD,Single,34554.0,0,1,3/30/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
103,1979,Graduation,Together,85693.0,0,1,4/20/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
104,1945,PhD,Married,65846.0,0,0,5/17/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,Will definitely be buying again. 5 stars.
105,1959,Graduation,Married,87195.0,0,0,5/8/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
106,1979,Basic,Together,24594.0,1,0,12/10/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
107,1964,Graduation,Married,49096.0,1,1,9/24/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
108,1969,Graduation,Married,52413.0,0,2,2/2/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
109,1978,Graduation,Single,38557.0,1,0,12/19/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
110,1960,Master,Married,89058.0,0,0,12/7/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
111,1979,Graduation,Together,77298.0,0,1,11/2/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
112,1991,PhD,Single,68126.0,0,0,11/10/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,Great customer service and very smooth experience.
113,1963,Master,Together,57288.0,0,1,6/25/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
114,1991,Graduation,Single,86037.0,0,0,1/2/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,Excellent quality products and fast delivery!
115,1980,PhD,Married,43974.0,1,0,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
116,1962,Graduation,Single,50785.0,1,1,9/10/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
117,1970,Graduation,Married,90765.0,0,0,1/24/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,Excellent quality products and fast delivery!
118,1978,2n Cycle,Married,36550.0,1,0,2/19/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
119,1967,2n Cycle,Together,30753.0,1,1,7/11/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
120,1969,Graduation,Together,21918.0,1,0,11/14/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
121,1953,Master,Together,56129.0,0,1,6/20/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
122,1967,Master,Single,32557.0,1,0,2/24/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,Great customer service and very smooth experience.
123,1985,Master,Married,19510.0,2,0,9/4/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
124,1976,Graduation,Divorced,30992.0,1,0,4/22/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
125,1983,Graduation,Single,101970.0,0,0,3/12/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,"Highly recommended, top-notch quality!"
126,1965,2n Cycle,Together,71488.0,0,0,2/18/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
127,1984,Graduation,Single,79607.0,0,0,4/21/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
128,1953,Master,Married,54348.0,1,1,6/8/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
129,1961,PhD,Married,,0,1,7/11/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
130,1956,PhD,Together,77376.0,1,1,5/10/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
131,1952,Graduation,Married,62998.0,0,1,9/30/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
132,1958,Master,Alone,61331.0,1,1,3/10/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
133,1969,Graduation,Married,73448.0,0,0,2/10/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
134,1963,Graduation,Married,,0,1,8/11/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
135,1964,PhD,Married,41551.0,1,1,8/14/2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
136,1967,PhD,Together,62981.0,0,0,3/17/2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
137,1976,Basic,Divorced,9548.0,1,0,8/8/2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
138,1959,PhD,Married,33762.0,2,1,7/7/2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
139,1973,PhD,Alone,35860.0,1,1,5/19/2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,Great customer service and very smooth experience.
140,1965,PhD,Divorced,36921.0,1,1,7/28/2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
141,1992,Master,Single,92859.0,0,0,10/19/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
142,1976,Master,Together,65104.0,0,1,11/14/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,Excellent quality products and fast delivery!
143,1962,Graduation,Married,86111.0,0,0,4/19/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,Great customer service and very smooth experience.
144,1974,PhD,Single,68352.0,0,1,8/28/2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
145,1988,Graduation,Together,41883.0,1,0,3/19/2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
146,1976,Graduation,Married,59809.0,0,2,10/18/2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,"It was okay, nothing special."
147,1975,Graduation,Married,23957.0,1,0,10/28/2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,"Highly recommended, top-notch quality!"
148,1981,Graduation,Together,38547.0,1,0,8/28/2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,Too many glitches when trying to checkout.
149,1973,2n Cycle,Married,35688.0,2,1,8/22/2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
150,1966,Master,Married,49605.0,0,0,6/21/2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,Delivery took a bit long but the items were acceptable.
151,1953,Master,Married,59354.0,0,2,4/24/2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
152,1969,Graduation,Married,65747.0,0,1,3/7/2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
153,1972,2n Cycle,Together,46344.0,0,1,12/14/2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,Might buy again if there's a good discount.
154,1988,Graduation,Alone,34176.0,1,0,5/12/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
155,1952,PhD,Together,61010.0,0,1,10/9/2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,"Highly recommended, top-notch quality!"
156,1949,Graduation,Together,69372.0,0,0,2/19/2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,Will definitely be buying again. 5 stars.
157,1958,Graduation,Single,49967.0,0,1,7/8/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
158,1978,Graduation,Single,60199.0,1,2,9/12/2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,"Standard service, met my basic expectations."
159,1977,Graduation,Together,55375.0,0,1,10/17/2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,"Average experience, products were fine."
